ticker,longName,ROCE (3yr avg),NFAT (3yr avg),SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),Interest coverage,tax %,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,p/s,d/e,d/e_market,FCF%,FCF/CFO,3-5yr Average ROA (%),3-5yr Average ROE (%),moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,ma_pct,ma_distance_bonus,macd_pct,macd_crossover_bonus,rsi_pct,vwma_pct,vwma_volume_bonus,fundamental_total_score,technical_total_score,combined_score
RILYZ,,,,,,,,,,,,,,,,,,,,,,,,,12.02,10.99,10.419,9.263,True,True,True,9.372,15.365,29.769,3.0,3.0,WAIT - Extended above MA,0.607,0.479,0.127,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,63.315,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,12.02,11.17,True,True,True,19200.0,74335.0,0.258,82000.0,53180.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,5.0,0.0,90.0,27.0
RIME,"Algorhythm Holdings, Inc.",67.609,17.04,-673.522,-36.77,17.04,46.963,100.0,-5.476,-0.0,0.421,-83.915,inf,-821.614,0.0,-19.951,inf,0.10728251,0.086,0.23,37.09,0.592,-27.809,602.807,1.04,1.448,1.696,2.242,False,False,False,-28.177,-38.679,-53.604,0.0,3.0,AVOID,-0.198,-0.159,-0.039,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,32.816,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",1.04,1.724,False,False,False,54100.0,225220.0,0.24,58300.0,101650.0,0.0,3.0,"AVOID - Below VWMA, weak support",68.0,0.0,20.0,45.0,20.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,33.0,6.667,25.1
RING,,,,,,,,,,,,,,,,,,,,,,,,,73.56,73.156,67.639,52.618,True,True,True,0.552,8.753,39.799,3.0,3.0,BUY - Ideal pullback entry,2.062,2.418,-0.356,False,True,False,False,False,,1.0,3.0,AVOID - Bearish momentum,54.454,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,73.56,73.214,True,True,False,821800.0,479750.0,1.713,414420.0,451000.0,2.0,3.0,HOLD - Above VWMA but watch volume,0.0,0.0,0.0,0.0,0.0,100.0,5.0,33.3,0.0,100.0,66.7,0.0,0.0,71.667,21.5
RINT,,,,,,,,,,,,,,,,,,,,,,,,,29.455,28.933,28.389,,True,False,False,1.803,3.756,,1.0,3.0,AVOID,0.305,0.281,0.024,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,65.923,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,29.455,28.91,True,True,True,2800.0,13315.0,0.21,15728.571,8600.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,0.0,0.0,0.0,0.0,33.3,5.0,100.0,0.0,100.0,100.0,5.0,0.0,75.0,22.5
RIOT,"Riot Platforms, Inc.",-14.366,0.427,-50.169,-61.73,0.427,23.803,100.0,-166.942,0.675,0.661,5.334,24.414,2.078,0.0,20.881,inf,8.262876,0.325,0.116,-1391.731,4.016,-9.038,-10.205,14.16,14.19,15.895,12.967,False,True,True,-0.215,-10.913,9.2,2.0,3.0,WAIT - Partial trend,-0.661,-0.693,0.032,True,False,True,True,True,1.0,2.0,3.0,STRONG BUY - Fresh crossover (1 days ago),48.39,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,14.16,14.306,False,False,True,21631600.0,14239125.0,1.519,15164000.0,11075833.333,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,35.0,20.0,55.0,26.7,66.7,5.0,66.7,5.0,66.7,33.3,5.0,26.0,66.667,38.2
RITR,Reitar Logtech Holdings Limited,15.24,25.12,674.475,28.445,25.12,40.058,100.0,3.866,72.492,-0.257,3.241,53.5,16.117,,37.918,,0.17669924,0.829,1.669,-842.114,1.063,30.349,85.227,1.07,1.183,1.376,3.42,False,False,False,-9.571,-22.238,-68.709,0.0,3.0,AVOID,-0.044,-0.062,0.018,True,False,True,False,False,,2.0,3.0,HOLD - Bullish but watch for weakening,39.537,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",1.07,1.246,False,False,True,180600.0,125470.0,1.439,186266.667,154100.0,1.0,3.0,"AVOID - Below VWMA, weak support",84.0,50.0,40.0,30.0,26.7,0.0,0.0,66.7,0.0,33.3,33.3,5.0,49.0,30.0,43.3
RIVN,"Rivian Automotive, Inc.",-37.693,0.888,-205.785,-208.413,0.888,20.808,100.0,-14.745,-0.105,0.659,-28.287,inf,-20.009,0.0,348.743,inf,4.0779734,0.628,0.242,60.198,1.644,-28.871,-43.095,19.41,19.249,16.719,14.213,True,True,True,0.836,16.095,36.569,3.0,3.0,BUY - Ideal pullback entry,1.041,1.206,-0.165,False,True,False,False,True,10.0,1.0,3.0,AVOID - Bearish momentum,54.332,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,19.41,19.142,True,True,True,42685200.0,46997890.0,0.908,63869450.0,30049328.571,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,35.0,0.0,50.0,46.7,100.0,5.0,33.3,0.0,100.0,100.0,5.0,24.0,81.667,41.3
RJET,,,,,,,,,,,,,,,,,,,,,,,,,19.62,19.547,20.823,17.704,False,True,True,0.373,-5.776,10.82,2.0,3.0,WAIT - Partial trend,-0.381,-0.353,-0.028,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,47.865,True,False,True,Bearish,2.0,3.0,STRONG BUY - Ideal zone,19.62,19.695,False,False,True,144900.0,58575.0,2.474,114466.667,83933.333,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,0.0,0.0,0.0,0.0,66.7,5.0,0.0,0.0,66.7,33.3,5.0,0.0,48.333,14.5
RKDA,"Arcadia Biosciences, Inc.",-56.151,4.736,-1062.172,-220.227,4.736,19.204,100.0,,-0.186,1.269,-35.717,inf,-238.398,0.0,-9.383,inf,0.5706955,0.012,0.053,137.013,0.941,-43.868,-65.632,2.15,3.251,3.533,3.868,False,False,False,-33.867,-39.139,-44.41,0.0,3.0,AVOID,-0.417,-0.242,-0.176,False,False,False,True,False,,0.0,3.0,AVOID - Bearish momentum,26.966,True,False,False,Oversold,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",2.15,2.802,False,False,False,14300.0,23145.0,0.618,33100.0,39800.0,0.0,3.0,"AVOID - Below VWMA, weak support",8.0,0.0,20.0,55.0,100.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,32.0,6.667,24.4
RKLB,Rocket Lab Corporation,-20.478,1.612,-114.689,-60.89,1.612,16.528,100.0,-48.002,-0.403,0.521,-20.205,inf,-0.469,0.0,91.374,inf,73.19743,0.845,0.012,60.988,2.596,-15.643,-26.738,75.99,63.507,56.067,41.681,True,True,True,19.657,35.535,82.311,3.0,3.0,WAIT - Extended above MA,6.083,5.202,0.88,True,True,True,True,False,,3.0,3.0,BUY - Momentum building,67.554,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,75.99,64.635,True,True,True,31382200.0,28356840.0,1.107,40644575.0,23679850.0,3.0,3.0,STRONG BUY - Institutional accumulation,0.0,35.0,0.0,55.0,46.7,100.0,0.0,100.0,0.0,100.0,100.0,5.0,25.0,90.0,44.5
