ticker,longName,ROCE (3yr avg),NFAT (3yr avg),SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),Interest coverage,tax %,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,p/s,d/e,d/e_market,FCF%,FCF/CFO,3-5yr Average ROA (%),3-5yr Average ROE (%),moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,profitability_pct,growth_pct,valuation_pct,financial_health_pct,cashflow_quality_pct,ma_pct,ma_distance_bonus,macd_pct,macd_crossover_bonus,rsi_pct,vwma_pct,vwma_volume_bonus,fundamental_total_score,technical_total_score,combined_score
ABVEW,Above Food Ingredients Inc.,105.216,6.122,-63.057,-9.616,6.122,4.19,100.0,-5.15,-0.0,0.366,-29.472,inf,-12459051647.581,0.0,36.114,inf,0.0,44.663,0.0,-6.561,0.357,-20.677,-11.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,35.0,0.0,55.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,21.1
ABVX,ABIVAX Société Anonyme,-141.734,0.0,-56.838,-1.0,0.0,56.838,100.0,-13.916,-0.0,0.82,-53.886,inf,-1.968,0.0,0.0,inf,1707.651,0.497,0.011,87.786,,-69.569,-256.09,114.94,119.346,108.094,52.231,True,True,True,-3.692,6.334,120.059,3.0,3.0,STRONG BUY - At MA support,1.897,3.667,-1.769,False,True,False,True,True,7.0,1.0,3.0,AVOID - Bearish momentum,50.098,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,114.94,119.669,False,False,True,2262500.0,1714630.0,1.32,2511460.0,1737450.0,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,0.0,0.0,45.0,46.7,100.0,5.0,33.3,0.0,100.0,33.3,5.0,16.0,71.667,32.7
ACAD,ACADIA Pharmaceuticals Inc.,-17.527,12.751,-126.911,-8.85,12.751,14.064,100.0,inf,12.254,0.298,30.236,17.523,4.928,0.0,25.535,inf,4.388,0.12,0.011,69.417,0.932,-21.354,-30.309,27.16,26.044,23.757,21.472,True,True,True,4.283,14.325,26.493,3.0,3.0,BUY - Ideal pullback entry,0.943,0.993,-0.05,False,True,False,False,False,,1.0,3.0,AVOID - Bearish momentum,65.228,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,27.16,26.173,True,True,True,3363000.0,1578920.0,2.13,1901300.0,1376375.0,3.0,3.0,STRONG BUY - Institutional accumulation,12.0,35.0,20.0,90.0,46.7,100.0,5.0,33.3,0.0,100.0,100.0,5.0,39.0,81.667,51.8
ACB,Aurora Cannabis Inc.,-58.375,0.923,-266.776,-267.087,0.923,20.185,100.0,1.185,22.662,0.151,0.19,inf,0.567,0.0,11.862,inf,0.764,0.187,0.373,-179.384,1.178,-31.693,-43.09,4.96,4.753,4.809,4.851,True,True,False,4.355,3.14,2.24,2.0,3.0,WAIT - Partial trend,0.165,0.076,0.089,True,True,True,False,False,,3.0,3.0,HOLD - Bullish but watch for weakening,52.307,True,True,True,Bullish,3.0,3.0,STRONG BUY - Ideal zone,4.96,5.145,False,True,False,4563200.0,2592720.0,1.76,4470840.0,5118200.0,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,15.0,20.0,55.0,26.7,66.7,5.0,100.0,0.0,100.0,33.3,0.0,22.0,70.0,36.4
ACCL,Acco Group Holdings Limited,-1.0,-1.0,2.01,-1.0,-1.0,-1.0,-1.0,inf,11.326,1.505,,45.097,2.32,0.0,0.0,inf,9.008,,0.006,148.273,0.985,-1.0,-1.0,3.157,3.865,,,False,False,False,-18.316,,,0.0,3.0,AVOID,-0.179,-0.072,-0.107,False,False,False,False,False,,0.0,3.0,AVOID - Bearish momentum,32.698,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",3.157,3.924,False,False,True,17700.0,72790.0,0.243,229200.0,80112.5,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,15.0,0.0,75.0,100.0,0.0,0.0,0.0,0.0,33.3,33.3,5.0,33.0,16.667,28.1
ACDC,ProFrac Holding Corp.,6.595,1.769,-31.042,-3.253,1.769,25.288,100.0,0.252,3.259,-6.235,-7.005,inf,-31.214,0.0,41.801,inf,0.352,1.05,1.846,-52.208,-0.157,0.916,-373.373,3.81,3.92,4.119,5.606,False,False,False,-2.819,-7.506,-32.034,0.0,3.0,AVOID,-0.016,0.001,-0.018,False,False,False,False,False,,0.0,3.0,AVOID - Bearish momentum,44.336,True,False,True,Bearish,2.0,3.0,BUY - Acceptable zone,3.81,3.883,False,True,False,2443400.0,1296655.0,1.884,1039633.333,1203600.0,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,35.0,20.0,25.0,0.0,0.0,5.0,0.0,0.0,66.7,33.3,0.0,16.0,23.333,18.2
ACET,"Adicet Bio, Inc.",-52.2,0.0,-11.442,-1.0,0.0,11.442,100.0,-31903.75,-0.0,0.72,-56.5,inf,-154.796,0.0,0.0,inf,0.0,0.101,0.228,79.828,0.989,-36.741,-42.809,0.494,0.544,0.69,0.712,False,False,False,-9.174,-28.412,-30.617,0.0,3.0,AVOID,-0.054,-0.056,0.001,True,False,True,True,True,1.0,2.0,3.0,STRONG BUY - Fresh crossover (1 days ago),35.915,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",0.494,0.528,False,False,True,6036300.0,2888105.0,2.09,4007000.0,3988700.0,1.0,3.0,"AVOID - Below VWMA, weak support",0.0,0.0,0.0,55.0,46.7,0.0,0.0,66.7,5.0,33.3,33.3,5.0,18.0,35.0,23.1
ACFN,"Acorn Energy, Inc.",1.353,11.344,171.023,16.575,11.344,17.003,100.0,1937.0,-214.527,0.198,115.507,5.647,16.731,0.0,17.478,inf,2.979,-0.117,0.003,13.489,1.059,-4.223,36.182,15.02,15.201,18.614,20.13,False,False,False,-1.187,-19.309,-25.386,0.0,3.0,AVOID,-0.728,-0.959,0.23,True,False,True,False,False,,2.0,3.0,HOLD - Bullish but watch for weakening,42.993,True,False,True,Bearish,2.0,3.0,BUY - Acceptable zone,15.02,15.259,False,False,True,85400.0,44615.0,1.914,97700.0,59466.667,1.0,3.0,"AVOID - Below VWMA, weak support",56.0,40.0,60.0,85.0,33.3,0.0,5.0,66.7,0.0,66.7,33.3,5.0,56.0,41.667,51.7
ACGL,Arch Capital Group Ltd.,5.586,0.0,0.0,24.746,0.0,0.0,84.062,0.0,8.091,1.587,7.32,9.016,12.361,29.025,23.798,0.311,1.837,0.149,0.078,153.571,0.965,5.742,19.791,96.2,93.552,90.789,91.114,True,True,False,2.831,5.96,5.582,2.0,3.0,WAIT - Partial trend,1.37,1.078,0.292,True,True,True,False,True,5.0,3.0,3.0,STRONG BUY - Fresh crossover (5 days ago),67.991,True,True,True,Bullish,3.0,3.0,BUY - Acceptable zone,96.2,93.905,True,True,False,8269700.0,2535800.0,3.261,2672266.667,4632866.667,2.0,3.0,HOLD - Above VWMA but watch volume,28.0,85.0,100.0,60.0,100.0,66.7,5.0,100.0,5.0,100.0,66.7,0.0,71.0,80.0,73.7
ACGLO,Arch Capital Group Ltd.,5.586,0.0,0.0,24.746,0.0,0.0,84.062,0.0,8.091,1.587,7.32,4.333,52.651,0.0,23.798,inf,0.606,0.149,0.333,153.571,0.965,5.742,19.791,20.325,20.67,20.902,20.335,False,False,True,-1.668,-2.761,-0.048,1.0,3.0,AVOID,-0.098,-0.078,-0.02,False,False,False,False,False,,0.0,3.0,AVOID - Bearish momentum,32.827,True,False,False,Bearish,1.0,3.0,"CAUTION - Oversold, wait for bounce confirmation",20.325,20.647,False,False,False,30900.0,30495.0,1.013,26466.667,42233.333,0.0,3.0,"AVOID - Below VWMA, weak support",28.0,35.0,70.0,50.0,100.0,33.3,5.0,0.0,0.0,33.3,0.0,0.0,53.0,21.667,43.6
