,stock,range_length_days,price_mode,expansion_move_pct,expansion_closing_range,buy_date,sell_type,sell_date,stage,return_pct,days_held,buy_price,sell_price
27,META,3,open_close,5.3,69.5,2021-07-26,stop_loss,2021-07-30,2,-4.22,4,369.58,354.0
28,META,3,open_close,0.26,92.0,2021-11-15,stop_loss,2021-11-30,2,-4.0,10,344.34,330.57
29,META,3,open_close,5.7,98.9,2022-03-17,weakness,2022-04-13,4,5.02,19,201.7,211.82
30,META,5,open_close,1.75,94.6,2022-04-05,stop_loss,2022-04-06,4,-4.0,1,234.08,224.72
31,META,3,open_close,2.59,99.5,2022-07-06,stop_loss,2022-07-13,4,-4.78,5,168.2,160.16
32,META,4,open_close,4.81,90.7,2022-08-04,weakness,2022-08-23,4,-3.46,13,168.3,162.48
33,META,4,open_close,4.56,67.2,2022-08-11,stop_loss,2022-08-18,4,-4.0,5,179.71,172.52
34,META,3,open_close,4.37,94.0,2022-09-12,stop_loss,2022-09-13,4,-4.0,1,167.39,160.69
35,META,6,open_close,5.22,99.3,2022-12-01,stop_loss,2022-12-06,4,-4.0,3,119.2,114.43
36,META,5,open_close,0.42,85.4,2022-12-30,weakness,2023-07-25,4,149.82,140,118.16,295.19
37,META,3,open_close,2.81,95.0,2023-01-27,weakness,2023-07-25,4,99.13,122,148.24,295.19
38,META,10,open_close,5.89,85.7,2023-03-06,stop_loss,2023-03-09,4,-4.0,3,188.0,180.48
39,META,7,open_close,17.69,66.7,2024-02-05,weakness,2024-04-17,2,7.07,50,469.88,503.1
40,META,6,open_close,3.92,96.7,2024-07-08,stop_loss,2024-07-11,2,-4.0,3,542.35,520.66
41,META,9,open_close,3.69,96.9,2025-01-07,stop_loss,2025-01-08,2,-4.0,1,631.7,606.43
42,META,6,open_close,5.47,95.0,2025-05-13,weakness,2025-07-18,3,8.78,45,645.54,702.19
43,META,5,open_close,3.37,62.0,2026-01-23,weakness,2026-02-13,3,0.05,15,644.77,645.1
44,META,3,open_close,9.45,81.9,2026-01-30,stop_loss,2026-01-30,3,-0.66,0,727.5,722.68
45,META,3,open_close,4.41,86.0,2026-04-15,stop_loss,2026-04-30,3,-7.15,11,667.0,619.32
46,NVDA,3,open_close,8.12,91.7,1999-07-12,weakness,1999-07-26,1,-11.39,10,0.05,0.04
47,NVDA,8,open_close,6.71,83.3,1999-08-12,weakness,1999-09-17,1,10.37,25,0.05,0.05
48,NVDA,3,open_close,7.68,82.3,2000-08-16,stop_loss,2000-08-16,2,-4.08,0,0.31,0.3
49,NVDA,3,open_close,7.31,81.2,2001-02-15,stop_loss,2001-02-21,4,-4.95,3,0.23,0.21
50,NVDA,3,open_close,2.35,88.9,2001-04-18,weakness,2001-05-14,1,4.59,18,0.31,0.33
51,NVDA,3,open_close,3.79,80.7,2001-07-13,stop_loss,2001-07-13,1,-0.56,0,0.34,0.34
52,NVDA,3,open_close,5.84,90.3,2001-08-02,stop_loss,2001-08-02,1,-3.37,0,0.36,0.35
53,NVDA,3,open_close,0.52,77.9,2001-08-14,stop_loss,2001-08-17,1,-2.99,3,0.36,0.35
54,NVDA,3,open_close,1.56,97.7,2001-08-17,stop_loss,2001-08-17,1,-3.78,0,0.36,0.35
55,NVDA,3,open_close,5.54,98.5,2001-12-05,weakness,2002-01-15,2,6.23,27,0.49,0.52
56,NVDA,3,open_close,3.89,86.7,2002-08-15,stop_loss,2002-08-16,4,-3.81,1,0.08,0.08
57,NVDA,4,open_close,20.88,99.1,2003-02-18,stop_loss,2003-02-28,1,-4.0,8,0.1,0.1
58,NVDA,7,open_close,9.94,92.2,2003-03-14,stop_loss,2003-03-17,1,-4.83,1,0.12,0.11
59,NVDA,3,open_close,10.26,93.2,2003-05-05,weakness,2003-06-24,2,41.43,35,0.13,0.19
60,NVDA,4,open_close,31.02,95.0,2003-05-12,stop_loss,2003-05-13,2,-6.35,1,0.18,0.17
61,NVDA,3,open_close,8.19,96.9,2003-05-28,weakness,2003-06-24,2,0.22,19,0.19,0.19
62,NVDA,5,open_close,2.62,98.0,2003-07-02,stop_loss,2003-07-16,2,-5.28,9,0.2,0.19
63,NVDA,3,open_close,7.64,90.1,2003-08-20,weakness,2003-08-26,2,1.59,4,0.15,0.15
64,NVDA,5,open_close,4.16,90.3,2003-10-29,weakness,2004-01-26,3,31.0,59,0.15,0.19
65,NVDA,5,open_close,2.44,95.8,2003-11-25,stop_loss,2003-12-05,3,-3.04,7,0.18,0.17
66,NVDA,5,open_close,4.07,77.7,2004-01-07,stop_loss,2004-01-15,3,-2.12,6,0.2,0.2
67,NVDA,4,open_close,1.12,88.5,2004-03-17,stop_loss,2004-03-22,3,-1.82,3,0.18,0.18
68,NVDA,5,open_close,2.9,74.5,2004-03-25,weakness,2004-04-19,3,1.07,16,0.19,0.2
69,NVDA,3,open_close,2.94,92.6,2004-05-26,weakness,2004-06-07,3,1.0,7,0.18,0.19
70,NVDA,3,open_close,4.33,62.5,2004-12-06,weakness,2005-01-12,4,3.65,26,0.17,0.18
71,NVDA,3,open_close,7.46,94.7,2005-01-28,weakness,2005-03-10,1,12.3,28,0.19,0.22
72,NVDA,3,open_close,5.57,84.9,2005-02-03,weakness,2005-03-10,1,5.9,24,0.2,0.22
73,NVDA,5,open_close,8.11,98.1,2005-02-22,stop_loss,2005-03-08,1,-5.98,10,0.23,0.22
74,NVDA,3,open_close,0.96,99.3,2005-06-10,stop_loss,2005-06-14,1,-2.37,2,0.24,0.23
75,NVDA,8,open_close,5.31,80.3,2005-08-15,stop_loss,2005-08-22,1,-4.16,5,0.25,0.24
76,NVDA,4,open_close,3.69,98.2,2005-11-18,weakness,2005-12-21,2,0.03,22,0.3,0.3
77,NVDA,3,open_close,5.33,76.1,2006-01-20,stop_loss,2006-02-10,2,-4.3,15,0.38,0.36
78,NVDA,8,open_close,4.08,94.4,2006-02-17,stop_loss,2006-02-17,2,-2.9,0,0.42,0.41
79,NVDA,4,open_close,0.3,87.2,2006-02-28,weakness,2006-05-12,2,17.51,52,0.39,0.46
80,NVDA,3,open_close,4.68,96.8,2006-04-05,stop_loss,2006-04-18,2,-4.79,8,0.5,0.48
81,NVDA,5,open_close,5.75,72.2,2006-05-02,stop_loss,2006-05-10,2,-4.18,6,0.52,0.5
82,NVDA,3,open_close,3.81,84.3,2006-07-19,weakness,2006-07-21,2,-0.75,2,0.31,0.31
83,NVDA,3,open_close,10.37,97.7,2006-07-31,stop_loss,2006-08-01,2,-3.7,1,0.37,0.36
84,NVDA,3,open_close,4.53,90.1,2006-08-30,stop_loss,2006-09-05,2,-4.13,3,0.48,0.46
85,NVDA,5,open_close,2.88,68.7,2007-03-22,weakness,2007-03-29,2,-1.17,5,0.5,0.49
86,NVDA,6,open_close,4.22,98.7,2007-04-09,stop_loss,2007-04-11,2,-4.85,2,0.51,0.49
87,NVDA,3,open_close,4.65,76.1,2007-05-14,stop_loss,2007-05-24,2,-4.0,8,0.58,0.56
88,NVDA,3,open_close,7.45,88.4,2007-06-22,stop_loss,2007-06-26,2,-3.72,2,0.72,0.69
89,NVDA,3,open_close,2.03,87.5,2007-10-02,stop_loss,2007-10-03,2,-4.46,1,0.94,0.9
90,NVDA,3,open_close,7.68,92.9,2007-10-18,stop_loss,2007-10-19,2,-3.58,1,0.99,0.95
91,NVDA,3,open_close,1.89,92.3,2007-11-28,weakness,2007-12-05,3,4.5,5,0.79,0.83
92,NVDA,4,open_close,5.71,94.8,2008-02-04,stop_loss,2008-02-04,4,-3.79,0,0.69,0.66
93,NVDA,4,open_close,4.74,94.8,2008-04-02,stop_loss,2008-04-02,4,-3.13,0,0.53,0.51
94,NVDA,7,open_close,2.92,87.9,2008-06-02,stop_loss,2008-06-04,4,-5.14,2,0.62,0.59
95,NVDA,4,open_close,7.54,76.9,2008-08-14,weakness,2008-09-03,4,-0.16,13,0.3,0.3
96,NVDA,3,open_close,4.92,93.3,2008-08-21,stop_loss,2008-08-26,4,-4.56,3,0.35,0.33
97,NVDA,3,open_close,7.87,76.8,2009-03-11,weakness,2009-05-11,1,0.55,42,0.23,0.23
98,NVDA,3,open_close,1.77,60.0,2009-05-01,stop_loss,2009-05-07,1,-5.68,4,0.29,0.27
99,NVDA,3,open_close,5.4,90.0,2009-05-27,weakness,2009-06-24,1,3.2,20,0.26,0.27
100,NVDA,3,open_close,3.89,87.8,2009-06-02,stop_loss,2009-06-03,1,-4.94,1,0.27,0.26
101,NVDA,5,open_close,7.03,81.4,2009-12-17,weakness,2010-01-21,1,2.3,22,0.42,0.43
102,NVDA,4,open_close,4.07,77.2,2010-02-12,stop_loss,2010-02-18,1,-3.53,3,0.43,0.41
103,NVDA,6,open_close,1.14,90.6,2010-03-02,weakness,2010-04-09,1,-0.94,27,0.43,0.42
104,NVDA,4,open_close,1.24,88.7,2010-07-08,stop_loss,2010-07-08,1,-2.8,0,0.27,0.26
105,NVDA,4,open_close,5.22,94.4,2010-08-20,stop_loss,2010-08-24,1,-3.16,2,0.25,0.24
106,NVDA,5,open_close,5.42,78.0,2010-09-22,stop_loss,2010-10-06,1,-4.0,10,0.28,0.27
107,NVDA,7,open_close,3.87,89.4,2010-10-25,weakness,2011-02-24,1,86.88,84,0.3,0.56
108,NVDA,7,open_close,3.2,79.5,2010-12-02,weakness,2011-02-24,1,56.37,57,0.36,0.56
109,NVDA,3,open_close,7.29,84.5,2011-01-25,stop_loss,2011-01-28,2,-4.14,3,0.62,0.59
110,NVDA,3,open_close,4.28,67.9,2011-02-03,stop_loss,2011-02-08,2,-4.76,3,0.64,0.61
111,NVDA,3,open_close,6.83,83.1,2011-03-25,stop_loss,2011-03-25,2,-3.09,0,0.49,0.47
112,NVDA,3,open_close,4.22,99.0,2011-04-15,stop_loss,2011-04-19,2,-4.19,2,0.46,0.44
113,NVDA,4,open_close,3.01,89.5,2011-07-22,weakness,2011-07-26,4,-3.3,2,0.37,0.36
114,NVDA,3,open_close,2.61,93.1,2011-08-02,stop_loss,2011-08-04,4,-3.25,2,0.36,0.35
115,NVDA,3,open_close,3.76,97.0,2011-10-14,stop_loss,2011-10-17,4,-3.37,1,0.39,0.38
116,NVDA,4,open_close,1.53,74.1,2011-10-28,stop_loss,2011-11-01,4,-5.69,2,0.38,0.36
117,NVDA,6,open_close,5.84,67.2,2012-06-20,stop_loss,2012-06-25,4,-4.26,3,0.33,0.32
118,NVDA,5,open_close,1.56,81.2,2012-07-19,stop_loss,2012-07-20,4,-2.66,1,0.33,0.32
119,NVDA,6,open_close,1.64,88.6,2012-10-05,stop_loss,2012-10-08,4,-3.37,1,0.34,0.33
120,NVDA,4,open_close,1.13,98.1,2012-11-02,stop_loss,2012-11-12,4,-5.36,6,0.32,0.3
121,NVDA,11,open_close,4.53,85.0,2013-05-13,stop_loss,2013-06-12,1,-3.05,21,0.36,0.35
122,NVDA,3,open_close,4.43,92.5,2013-11-11,weakness,2013-11-21,1,-1.74,8,0.39,0.38
123,NVDA,3,open_close,3.67,63.9,2014-04-02,stop_loss,2014-04-11,2,-3.49,7,0.47,0.45
124,NVDA,10,open_close,5.09,88.6,2014-08-11,weakness,2014-09-16,3,-1.1,25,0.48,0.47
125,NVDA,3,open_close,3.74,97.1,2014-10-22,weakness,2014-12-12,3,9.29,36,0.46,0.5
126,NVDA,5,open_close,3.22,98.1,2014-11-03,weakness,2014-12-12,3,0.0,28,0.5,0.5
127,NVDA,3,open_close,0.75,97.2,2014-12-18,weakness,2015-01-06,3,-2.8,11,0.51,0.5
128,NVDA,4,open_close,6.19,68.3,2015-02-13,stop_loss,2015-03-25,3,-2.92,27,0.56,0.54
129,NVDA,9,open_close,2.15,91.2,2015-05-28,weakness,2015-06-15,3,-3.85,12,0.55,0.52
130,NVDA,4,open_close,10.11,73.8,2015-08-10,stop_loss,2015-08-21,3,-3.59,9,0.57,0.55
131,NVDA,3,open_close,0.62,84.5,2015-09-09,weakness,2016-01-08,3,34.81,84,0.57,0.77
132,NVDA,11,open_close,9.93,81.6,2015-11-09,stop_loss,2015-11-13,2,-3.97,4,0.78,0.75
133,NVDA,3,open_close,2.9,95.7,2015-12-07,stop_loss,2015-12-09,2,-3.97,2,0.84,0.81
134,NVDA,6,open_close,2.06,94.9,2016-02-01,stop_loss,2016-02-02,2,-4.31,1,0.73,0.7
135,NVDA,4,open_close,4.9,96.0,2016-02-17,weakness,2016-05-05,2,28.25,55,0.68,0.88
136,NVDA,6,open_close,2.22,100.0,2016-03-02,stop_loss,2016-03-10,2,-4.21,6,0.81,0.78
137,NVDA,4,open_close,12.83,99.0,2016-05-16,weakness,2016-06-28,2,13.35,30,1.02,1.15
138,NVDA,5,open_close,5.59,87.6,2016-08-15,stop_loss,2016-08-17,2,-3.66,2,1.58,1.52
139,NVDA,12,open_close,4.31,97.1,2016-10-25,stop_loss,2016-11-03,2,-4.24,7,1.76,1.69
140,NVDA,3,open_close,2.43,79.7,2016-11-08,stop_loss,2016-11-09,2,-3.83,1,1.79,1.72
141,NVDA,3,open_close,6.87,99.3,2016-12-28,stop_loss,2016-12-28,2,-4.01,0,2.99,2.87
142,NVDA,4,open_close,2.63,84.0,2017-01-10,stop_loss,2017-01-12,2,-3.91,2,2.7,2.59
143,NVDA,5,open_close,1.95,96.0,2017-02-02,stop_loss,2017-02-13,2,-3.97,7,2.83,2.72
144,NVDA,12,open_close,13.74,93.2,2017-05-11,weakness,2017-07-03,2,20.82,36,3.0,3.63
145,NVDA,3,open_close,4.73,94.4,2017-07-11,weakness,2017-08-22,2,4.32,30,3.85,4.01
146,NVDA,4,open_close,5.72,100.0,2017-09-18,stop_loss,2017-09-25,2,-4.07,5,4.63,4.44
147,NVDA,8,open_close,1.94,64.1,2017-11-13,stop_loss,2017-11-15,2,-3.4,2,5.4,5.22
148,NVDA,10,open_close,6.58,87.6,2018-01-04,stop_loss,2018-02-05,2,-3.97,21,5.39,5.18
149,NVDA,7,open_close,3.32,91.3,2018-10-01,stop_loss,2018-10-05,2,-4.0,4,7.1,6.82
150,NVDA,3,open_close,2.71,67.0,2019-03-20,weakness,2019-05-02,4,2.25,30,4.42,4.52
151,NVDA,4,open_close,2.6,72.3,2019-06-19,weakness,2019-08-05,1,-0.32,32,3.86,3.85
152,NVDA,4,open_close,6.44,96.5,2019-09-06,stop_loss,2019-09-24,1,-4.03,12,4.47,4.29
153,NVDA,9,open_close,1.73,97.4,2019-10-04,weakness,2019-12-04,1,16.33,42,4.53,5.28
154,NVDA,4,open_close,5.28,69.9,2019-10-16,weakness,2019-12-04,1,8.22,34,4.88,5.28
155,NVDA,4,open_close,4.75,96.6,2019-11-26,stop_loss,2019-12-02,1,-4.04,3,5.51,5.29
156,NVDA,4,open_close,3.43,99.7,2020-02-11,stop_loss,2020-02-27,2,-4.65,11,6.68,6.37
157,NVDA,3,open_close,1.88,79.6,2020-08-24,stop_loss,2020-09-04,2,-3.99,9,12.88,12.37
158,NVDA,4,open_close,2.05,100.0,2020-08-31,stop_loss,2020-09-04,2,-3.97,4,13.18,12.66
159,NVDA,4,open_close,5.91,93.2,2020-11-05,stop_loss,2020-11-10,2,-3.97,3,14.16,13.6
160,NVDA,4,open_close,5.2,95.3,2021-02-09,stop_loss,2021-02-23,3,-3.98,9,14.34,13.77
161,NVDA,5,open_close,5.62,88.2,2021-04-13,stop_loss,2021-05-04,2,-4.01,15,15.23,14.62
162,NVDA,4,open_close,3.04,95.8,2021-06-01,weakness,2021-07-19,2,10.11,33,16.27,17.92
163,NVDA,8,open_close,3.54,83.5,2021-06-18,stop_loss,2021-06-21,2,-4.01,1,18.78,18.03
164,NVDA,3,open_close,3.65,87.7,2021-06-29,stop_loss,2021-07-15,2,-3.99,11,19.88,19.09
165,NVDA,3,open_close,5.14,94.7,2021-08-23,weakness,2021-09-29,2,-0.15,26,20.97,20.94
166,NVDA,3,open_close,11.74,63.2,2021-11-05,stop_loss,2021-11-10,2,-4.0,3,30.19,28.98
167,NVDA,3,open_close,2.15,97.4,2021-11-30,stop_loss,2021-12-01,2,-4.01,1,33.17,31.84
168,NVDA,3,open_close,3.38,98.3,2022-06-27,stop_loss,2022-06-28,4,-4.0,1,17.31,16.62
169,NVDA,3,open_close,2.42,96.9,2022-08-26,stop_loss,2022-08-26,4,-4.02,0,17.86,17.14
170,NVDA,3,open_close,5.23,84.5,2022-10-05,weakness,2022-10-07,4,-3.14,2,12.91,12.51
171,NVDA,3,open_close,4.18,88.4,2023-05-02,stop_loss,2023-05-03,1,-4.01,1,28.68,27.53
172,NVDA,4,open_close,6.11,99.2,2024-01-09,weakness,2024-04-10,2,60.16,63,52.4,83.93
173,NVDA,6,open_close,4.97,84.9,2024-02-05,weakness,2024-04-10,2,23.01,45,68.22,83.93
174,NVDA,4,open_close,3.24,99.3,2024-03-04,weakness,2024-04-10,2,-0.24,26,84.13,83.93
175,NVDA,4,open_close,2.97,100.0,2024-07-05,stop_loss,2024-07-17,2,-4.73,8,127.38,121.35
176,NVDA,3,open_close,1.39,87.4,2024-07-23,stop_loss,2024-07-24,2,-3.94,1,122.78,117.94
177,NVDA,3,open_close,4.07,80.6,2024-11-07,stop_loss,2024-11-15,2,-4.0,6,146.39,140.53
178,NVDA,4,open_close,4.27,91.7,2025-01-06,stop_loss,2025-01-07,2,-4.0,1,148.59,142.65
179,NVDA,6,open_close,4.33,97.3,2025-06-26,weakness,2025-08-21,4,12.1,39,155.98,174.85
180,NVDA,7,open_close,2.85,75.9,2026-04-27,stop_loss,2026-04-30,1,-4.0,3,209.65,201.26
181,MSFT,3,open_close,8.55,85.7,1986-04-25,stop_loss,1986-04-30,0,-1.0,3,0.11,0.11
182,MSFT,6,open_close,5.17,75.0,1986-10-07,weakness,1987-02-23,1,122.95,95,0.11,0.24
183,MSFT,3,open_close,4.14,100.0,1986-10-22,stop_loss,1986-10-23,1,-0.82,1,0.13,0.13
184,MSFT,3,open_close,4.66,85.7,1987-01-06,weakness,1987-02-23,1,34.65,33,0.18,0.24
185,MSFT,5,open_close,3.24,95.7,1987-03-05,weakness,1987-05-21,2,37.62,54,0.28,0.38
186,MSFT,3,open_close,5.45,100.0,1987-03-31,stop_loss,1987-04-01,2,-3.5,1,0.33,0.32
187,MSFT,7,open_close,7.32,97.1,1987-04-29,weakness,1987-05-21,2,3.29,16,0.37,0.38
188,MSFT,4,open_close,8.18,100.0,1987-05-06,stop_loss,1987-05-07,2,-2.96,1,0.4,0.39
189,MSFT,5,open_close,4.26,96.6,1987-05-29,stop_loss,1987-06-02,2,-3.38,2,0.4,0.39
190,MSFT,6,open_close,2.35,88.9,1987-12-30,weakness,1988-01-25,3,-0.46,17,0.38,0.38
191,MSFT,5,open_close,2.2,91.7,1988-06-01,weakness,1988-07-21,3,9.44,35,0.4,0.44
192,MSFT,9,open_close,4.69,84.0,1988-06-23,stop_loss,1988-06-27,3,-3.28,2,0.47,0.45
193,MSFT,3,open_close,2.91,81.3,1988-11-09,weakness,1988-11-14,4,0.0,3,0.33,0.33
194,MSFT,6,open_close,1.08,86.4,1989-08-23,weakness,1989-12-12,1,42.86,77,0.41,0.58
195,MSFT,3,open_close,7.09,96.6,1989-10-05,stop_loss,1989-10-16,2,-6.29,7,0.52,0.49
196,MSFT,3,open_close,4.29,97.2,1989-11-14,stop_loss,1989-11-20,2,-4.27,4,0.62,0.59
197,MSFT,3,open_close,7.04,100.0,1990-01-19,stop_loss,1990-01-22,2,-4.76,1,0.66,0.63
198,MSFT,9,open_close,2.2,93.3,1990-04-04,weakness,1990-04-26,2,0.86,15,0.81,0.81
199,MSFT,3,open_close,4.66,100.0,1990-05-07,weakness,1990-07-05,2,15.32,41,0.86,0.99
200,MSFT,5,open_close,3.02,78.9,1990-05-21,weakness,1990-07-05,2,4.0,31,0.95,0.99
201,MSFT,3,open_close,3.28,90.9,1990-10-01,stop_loss,1990-10-10,2,-4.37,7,0.9,0.86
202,MSFT,6,open_close,4.75,88.5,1990-11-13,weakness,1991-03-12,2,42.91,81,0.95,1.36
203,MSFT,17,open_close,3.13,88.9,1991-01-11,stop_loss,1991-01-14,2,-3.69,1,1.09,1.05
204,MSFT,3,open_close,4.78,86.5,1991-01-17,stop_loss,1991-01-18,2,-4.07,1,1.19,1.15
205,MSFT,4,open_close,4.05,95.0,1991-01-31,weakness,1991-03-12,2,1.81,27,1.34,1.36
206,MSFT,3,open_close,4.44,87.5,1991-02-07,stop_loss,1991-02-08,2,-3.77,1,1.48,1.42
207,MSFT,3,open_close,4.21,81.8,1991-03-06,stop_loss,1991-03-06,2,-4.0,0,1.56,1.5
208,MSFT,3,open_close,4.18,95.7,1991-04-03,stop_loss,1991-04-10,2,-4.21,5,1.57,1.5
209,MSFT,5,open_close,2.02,94.6,1991-04-16,stop_loss,1991-04-18,2,-3.79,2,1.58,1.52
210,MSFT,4,open_close,4.66,100.0,1991-05-23,stop_loss,1991-06-20,3,-5.61,19,1.49,1.4
211,MSFT,4,open_close,4.77,93.5,1991-07-02,stop_loss,1991-07-02,3,-3.66,0,1.48,1.43
212,MSFT,7,open_close,4.41,85.0,1991-07-29,weakness,1991-09-10,3,15.49,30,1.48,1.71
213,MSFT,5,open_close,3.16,95.5,1991-09-13,stop_loss,1991-09-17,3,-4.0,2,1.78,1.71
214,MSFT,15,open_close,2.44,93.8,1991-10-31,weakness,1992-02-18,3,26.19,74,1.97,2.48
215,MSFT,9,open_close,4.11,95.5,1991-12-03,weakness,1992-02-18,3,18.07,52,2.1,2.48
216,MSFT,5,open_close,3.39,100.0,1992-02-27,stop_loss,1992-03-06,2,-3.8,6,2.56,2.46
217,MSFT,3,open_close,3.41,93.7,1993-03-31,stop_loss,1993-04-15,1,-3.91,10,2.85,2.74
218,MSFT,3,open_close,3.61,100.0,1993-04-29,weakness,1993-05-03,1,-0.29,2,2.68,2.67
219,MSFT,6,open_close,4.52,85.7,1993-05-20,weakness,1993-06-14,1,-1.36,16,2.88,2.84
220,MSFT,5,open_close,1.2,100.0,1993-05-27,stop_loss,1993-06-08,1,-4.0,7,2.97,2.85
221,MSFT,4,open_close,3.83,63.3,1994-04-20,weakness,1994-06-24,1,12.99,45,2.77,3.12
222,MSFT,4,open_close,0.61,93.7,1994-08-01,weakness,1994-09-27,1,7.51,40,3.23,3.47
223,MSFT,5,open_close,4.83,95.7,1995-03-09,weakness,1995-08-01,2,32.48,100,4.28,5.67
224,MSFT,3,open_close,6.72,71.4,1995-04-18,stop_loss,1995-04-20,2,-4.05,2,4.84,4.64
225,MSFT,11,open_close,3.35,96.0,1995-05-17,stop_loss,1995-05-31,2,-3.91,9,5.33,5.12
226,MSFT,4,open_close,2.97,92.1,1995-10-18,stop_loss,1995-11-07,2,-4.08,14,6.14,5.89
227,MSFT,5,open_close,3.24,100.0,1995-11-29,stop_loss,1995-11-30,2,-4.04,1,5.74,5.51
228,MSFT,3,open_close,3.13,92.5,1995-12-07,stop_loss,1995-12-15,2,-3.96,6,5.7,5.47
229,MSFT,4,open_close,3.19,97.2,1996-02-06,weakness,1996-03-11,3,-1.42,23,6.03,5.95
230,MSFT,8,open_close,2.54,96.2,1996-03-14,weakness,1996-04-11,3,0.37,19,6.32,6.34
231,MSFT,4,open_close,4.16,66.0,1997-01-21,weakness,1997-02-24,2,4.0,23,11.33,11.78
232,MSFT,4,open_close,2.56,98.0,1997-02-25,stop_loss,1997-02-27,2,-4.0,2,12.5,12.0
233,MSFT,6,open_close,9.26,100.0,1997-04-21,weakness,1997-07-02,2,17.41,51,13.38,15.7
234,MSFT,6,open_close,2.59,98.9,1997-07-15,weakness,1997-08-13,2,0.05,21,17.26,17.27
235,MSFT,6,open_close,1.0,81.3,1997-10-22,stop_loss,1997-10-23,2,-4.61,1,17.3,16.5
236,MSFT,13,open_close,2.43,97.3,1998-02-24,stop_loss,1998-03-05,2,-4.95,7,20.84,19.81
237,MSFT,3,open_close,4.22,92.9,1998-04-23,stop_loss,1998-04-24,2,-3.86,1,24.31,23.38
238,MSFT,13,open_close,3.23,98.6,1998-06-17,weakness,1998-08-04,3,20.78,33,22.48,27.16
239,MSFT,3,open_close,2.98,96.3,1999-02-24,stop_loss,1999-02-25,2,-3.99,1,39.11,37.55
240,MSFT,3,open_close,4.05,98.3,1999-03-26,stop_loss,1999-04-14,2,-3.99,12,44.73,42.95
241,MSFT,3,open_close,1.25,76.7,1999-06-17,weakness,1999-07-26,2,10.15,26,40.34,44.44
242,MSFT,6,open_close,4.67,91.0,1999-07-19,stop_loss,1999-07-20,2,-4.0,1,50.0,48.0
243,MSFT,6,open_close,6.65,79.6,1999-08-25,stop_loss,1999-09-24,2,-4.0,21,46.81,44.94
244,MSFT,5,open_close,0.85,80.9,1999-09-07,stop_loss,1999-09-09,2,-3.16,2,47.44,45.94
