stock,name,sector,industry,ticker,p/e,d/e_market,d/e,Sales Growth 5yr cagr,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,EY,Earnings Growth 5yr cagr,,PEG,no. shares (cr),Current Price,market cap,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,Normalized EBIT,Normalized Net Income,high,low,mean,median,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
ANGELONE.NS,Angel One Limited,Financial Services,Capital Markets,ANGELONE.NS,21.83,0.16,1.12,28.58,10.25,39.29,27.07,7.78,47.60,10.53,12.16,32.24,29.32,70.68,20.17,256.93,32.24,12.16,20.17,70.68,4.52,26.37,38123680000.00,-18598420000.00,-8280000000.00,-0.22,8.84,5.53,19.76,,1.10,9.06,2339.10,212011813620.00,4.51,4504080000.00,1975440000.00,1638740000.00,-20573860000.00,-175.53,-20237160000.00,-172.66,0.94,21205.07,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.11,212050657280.00,11720810000.00,42476030000.00,168886130000.00,112495110000.00,30386030000.00,34137370000.00,1285510000.00,119585080000.00,111736530000.00,7848550000.00,-18598420000.00,1638740000.00,1985820000.00,1034210000.00,2489280000.00,4198690000.00,90638200.00,4504080000.00,0.00,32851860000.00,0.52,0.22,0.46,71.00,2339.10,15745330000.00,10625210000.00,3100.00,2325.00,2832.22,2850.00,,,,,,,,
HERITGFOOD.NS,Heritage Foods Limited,Consumer Defensive,Packaged Foods,HERITGFOOD.NS,25.41,0.04,0.22,15.55,9.28,14.48,21.15,13.26,16.45,5.30,5.40,3.05,18.03,81.97,9.04,4.48,3.05,5.40,9.04,81.97,18.01,27.09,4493740000.00,2139270000.00,6912150000.00,1.54,14.70,4.35,24.36,,1.04,9.28,466.10,43252215600.00,1.02,9407400000.00,2686420000.00,1764460000.00,-547150000.00,-29.06,374810000.00,19.91,0.54,4331.18,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.26,43311833088.00,1882800000.00,41322820000.00,15583400000.00,5863800000.00,8081590000.00,1744810000.00,183590000.00,6851640000.00,3765660000.00,3085980000.00,2139270000.00,1764460000.00,231990000.00,695560000.00,148550000.00,699580000.00,92796000.00,8409080000.00,998320000.00,1561220000.00,0.53,0.06,0.12,20.00,466.10,1705370000.00,1176016666.67,675.00,490.00,571.67,550.00,,,,,,,,
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,HINDPETRO.NS,7.98,0.87,1.50,7.41,3.29,13.21,13.74,3.57,9.01,4.51,4.68,1.22,6.51,93.49,5.62,-0.29,1.22,4.68,5.62,93.49,3.07,25.16,230643100000.00,142277400000.00,504235300000.00,2.19,3.69,8.27,-2.58,,-3.10,212.78,382.95,814848681254.40,0.19,1215998800000.00,88432100000.00,95793300000.00,53845300000.00,79.94,46484100000.00,69.01,2.87,81484.87,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.38,814848737280.00,67357000000.00,4319944700000.00,1947446400000.00,1436003500000.00,469213500000.00,705582200000.00,82100000.00,577048400000.00,962777200000.00,-385728800000.00,142277400000.00,95793300000.00,23362600000.00,61541000000.00,31921700000.00,22641800000.00,2127820032.00,1031836300000.00,184162500000.00,705500100000.00,0.55,0.27,0.61,175.00,382.95,90430900000.00,52566933333.33,615.00,250.00,458.63,473.50,,,,,,,,
HINDZINC.NS,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,HINDZINC.NS,17.73,0.06,0.76,4.70,26.29,57.43,72.60,30.28,66.06,1.60,1.56,30.18,164.22,-64.22,17.18,-47.51,30.18,1.56,17.18,-64.22,12.56,23.61,382520000000.00,141600000000.00,553590000000.00,1.45,30.54,5.70,2.44,,7.26,422.53,430.15,1817521370470.40,5.55,236970000000.00,51260000000.00,40060000000.00,90340000000.00,87.26,101540000000.00,98.08,6.74,181814.94,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.64,1818149388288.00,103530000000.00,330410000000.00,344900000000.00,211640000000.00,151950000000.00,115360000000.00,2510000000.00,116260000000.00,111990000000.00,4270000000.00,141600000000.00,40060000000.00,122530000000.00,36400000000.00,10950000000.00,32000000000.00,4225319936.00,210910000000.00,26060000000.00,112850000000.00,0.90,0.05,0.50,80.00,430.15,138276666666.67,95410000000.00,564.00,335.00,459.38,465.00,196000000.00,70000000.00,146480000000.00,152146000000.00,0.76,264996000000.00,42.23,68.05
HMAAGRO.NS,HMA Agro Industries Limited,Consumer Defensive,Packaged Foods,HMAAGRO.NS,18.20,0.34,0.75,18.52,8.92,18.93,11.52,5.51,23.63,14.23,12.46,2.51,13.38,86.62,8.19,18.92,2.51,12.46,8.19,86.62,3.08,30.18,4254510000.00,1243860000.00,626980000.00,0.15,6.03,5.53,-9.64,,-1.89,50.08,31.31,15679108199.04,0.28,4363590000.00,295830000.00,218000000.00,948030000.00,109.25,1025860000.00,118.21,0.96,1574.91,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.76,15749086208.00,867800000.00,51330170000.00,17095200000.00,8995020000.00,7171640000.00,5345150000.00,1943860000.00,11209460000.00,8681550000.00,2527910000.00,1243860000.00,218000000.00,150230000.00,345210000.00,232240000.00,379130000.00,500769984.00,3538720000.00,824870000.00,3401290000.00,0.85,0.00,0.00,0.00,31.31,1601016666.67,1026100000.00,,,,,,,,,,,,
HMVL.NS,Hindustan Media Ventures Limited,Communication Services,Publishing,HMVL.NS,7.23,0.06,0.03,5.80,0.71,1.12,5.16,3.43,1.15,5.20,4.08,2.11,0.00,100.00,14.76,-6.16,2.11,4.08,14.76,100.00,-7.94,3.46,902300000.00,375600000.00,1567200000.00,1.74,3.46,12.32,24.21,,0.30,7.35,85.85,6311245580.00,0.84,1291100000.00,-73500000.00,41900000.00,449100000.00,57.74,333700000.00,42.90,0.00,631.12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1.20,6311245312.00,777800000.00,7328900000.00,22849900000.00,7506800000.00,14790700000.00,397800000.00,880400000.00,12616300000.00,7225000000.00,5391300000.00,375600000.00,41900000.00,0.00,205700000.00,66300000.00,27900000.00,73514800.00,1290600000.00,500000.00,-482600000.00,0.84,0.00,0.00,0.00,85.85,183133333.33,165466666.67,,,,,,,,,,,,
JUSTDIAL.NS,Just Dial Limited,Communication Services,Internet Content & Information,JUSTDIAL.NS,11.57,0.01,0.02,20.85,7.68,9.17,13.54,11.25,10.07,9.34,7.74,35.07,0.00,100.00,32.10,239.25,35.07,7.74,32.10,100.00,27.41,12.04,11806000000.00,3114900000.00,7884500000.00,0.67,12.02,8.38,93.45,,0.12,8.50,820.15,69749413985.60,6.02,1259200000.00,544500000.00,62100000.00,2570400000.00,44.00,3052800000.00,52.26,0.00,6974.94,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.83,69749415936.00,5842000000.00,11419300000.00,55206100000.00,9141100000.00,40235000000.00,998400000.00,497800000.00,53549500000.00,6544500000.00,47005000000.00,3114900000.00,62100000.00,0.00,472600000.00,105100000.00,799500000.00,85044704.00,1259200000.00,0.00,500600000.00,0.74,0.13,0.49,38.00,820.15,4486433333.33,3699233333.33,1325.00,968.00,1149.57,1200.00,,,,,,,,
HUDCO.NS,Housing and Urban Development Corporation Limited,Financial Services,Credit Services,HUDCO.NS,14.97,2.58,6.46,13.47,2.33,13.42,15.67,2.44,0.00,50.96,39.20,70.75,42.39,57.61,13.33,1584.21,70.75,39.20,13.33,57.61,0.00,25.50,82436700000.00,-316026700000.00,-435460100000.00,-5.28,2.90,6.51,16.44,,0.91,200.19,207.88,416154978652.16,9.61,856800000.00,124800000.00,217400000.00,-316151500000.00,-1166.98,-316244100000.00,-1167.32,2.77,41615.50,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1.00,416154976256.00,27091400000.00,35982700000.00,1284956500000.00,1105276000000.00,166125700000.00,1072967600000.00,0.00,0.00,0.00,0.00,-316026700000.00,217400000.00,11510900000.00,106400000.00,67474500000.00,9275200000.00,2001900032.00,713100000.00,143700000.00,0.00,0.75,0.10,0.42,51.00,207.88,0.00,21757533333.33,280.00,260.00,270.00,270.00,,,,,,,,
SUNDARMFIN.NS,Sundaram Finance Limited,Financial Services,Credit Services,SUNDARMFIN.NS,28.04,0.98,4.74,14.84,2.52,14.17,15.48,2.69,0.00,7.28,7.77,43.05,20.73,79.27,30.26,234.81,43.05,7.77,30.26,79.27,0.00,25.93,58165600000.00,-89852500000.00,-221963700000.00,-3.82,2.92,3.50,17.00,,1.65,11.02,4878.90,537718205700.00,13.20,7421500000.00,3195700000.00,573700000.00,-93048200000.00,-495.08,-90426200000.00,-481.13,0.61,53771.82,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1.04,537718194176.00,18794400000.00,42141300000.00,753366700000.00,621398400000.00,110782300000.00,525381700000.00,0.00,0.00,0.00,0.00,-89852500000.00,573700000.00,3306500000.00,2225500000.00,41240800000.00,6345800000.00,110213000.00,7406300000.00,15200000.00,0.00,0.00,0.13,0.13,133.00,4878.90,0.00,15477400000.00,5530.00,3775.00,4555.48,4598.00,,,,,,,,
MASTEK.NS,Mastek Limited,Technology,Information Technology Services,MASTEK.NS,19.87,0.07,0.28,16.52,9.72,17.91,16.53,9.96,17.51,39.92,34.49,10.72,18.18,81.82,88.14,214.45,10.72,34.49,88.14,81.82,11.21,18.13,12643600000.00,3951300000.00,11966600000.00,0.95,10.20,4.80,4.56,,4.35,3.10,2527.00,78273066900.00,2.20,858500000.00,709500000.00,201200000.00,3241800000.00,86.23,3750100000.00,99.76,0.75,7830.01,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.82,78300102656.00,3759300000.00,34552300000.00,38629300000.00,14005900000.00,20874100000.00,5831300000.00,2187200000.00,18258500000.00,9384500000.00,8874000000.00,3951300000.00,201200000.00,586600000.00,751200000.00,420600000.00,832300000.00,30974700.00,840400000.00,18100000.00,3644100000.00,0.51,0.16,0.33,45.00,2527.00,4612200000.00,3230766666.67,3320.00,2570.00,3070.00,3090.00,,,,,,,,
IDFCFIRSTB.NS,IDFC First Bank Limited,Financial Services,Banks—Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks—Regional,HDFCBANK.NS,22.27,0.49,1.05,32.50,1.79,13.38,9.21,1.46,0.00,8.13,8.23,33.61,18.27,81.73,20.00,206.19,33.61,8.23,20.00,81.73,0.00,20.31,2177612200000.00,1195617400000.00,3276158600000.00,1.50,1.53,4.51,8.17,,2.73,1534.62,973.40,14937990643916.80,5.46,314735300000.00,109423700000.00,66397300000.00,1086193700000.00,161.27,1129220100000.00,167.66,1.06,1494558.44,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.91,14945584414720.00,673508300000.00,2371508200000.00,48187671100000.00,39564780100000.00,6947327400000.00,7326106100000.00,0.00,0.00,0.00,0.00,1195617400000.00,66397300000.00,158058100000.00,63021300000.00,1823477000000.00,175014900000.00,15346199552.00,314735300000.00,0.00,0.00,0.00,0.56,0.56,502.00,973.40,0.00,597203933333.33,1385.00,1020.50,1139.92,1137.00,,,,,,,,
IMPAL.NS,India Motor Parts & Accessories Limited,Consumer Cyclical,Auto Parts,IMPAL.NS,15.27,0.00,0.00,6.82,4.20,4.65,3.88,3.47,4.97,46.11,45.64,10.34,39.61,60.39,6.70,278.22,10.34,45.64,6.70,60.39,inf,20.21,2934800000.00,178400000.00,742400000.00,0.25,3.62,6.58,11.26,,1.36,1.25,1019.30,12720864000.00,1.62,-1.00,-1.00,16900000.00,-1.00,-1.00,161500000.00,19.30,2.75,1272.09,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,12720864256.00,836700000.00,7857100000.00,25054200000.00,2594400000.00,20701700000.00,0.00,-1.00,3167600000.00,673800000.00,2493800000.00,178400000.00,16900000.00,349400000.00,12200000.00,0.00,211900000.00,12480000.00,169500000.00,-1.00,0.00,0.54,0.00,0.00,0.00,1019.30,965433333.33,775766666.67,,,,,,,,,,,,
INDBANK.NS,Indbank Merchant Banking Services Limited,Financial Services,Capital Markets,INDBANK.NS,18.17,0.00,0.00,4.39,6.67,8.63,9.67,7.54,10.53,32.74,25.05,37.19,0.00,100.00,45.33,886.42,37.19,25.05,45.33,100.00,42.44,26.40,279278000.00,755000.00,-58246000.00,-0.21,7.96,6.00,6.75,,2.69,4.44,31.80,1411226760.00,5.53,5346000.00,-1.00,2497000.00,-1.00,-1.00,-1742000.00,-2.06,0.00,141.43,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,-1.00,1414308096.00,84633000.00,201062000.00,1180901000.00,264384000.00,833691000.00,62000.00,-1.00,1044221000.00,8907000.00,1035314000.00,755000.00,2497000.00,0.00,-1.00,1218000.00,30360000.00,44378200.00,5346000.00,0.00,-1.00,0.70,0.00,0.00,0.00,31.80,97730666.67,69880666.67,,,,,,,,,,,,
INDIAGLYCO.NS,India Glycols Limited,Basic Materials,Chemicals,INDIAGLYCO.NS,20.71,0.37,0.92,10.23,3.29,8.75,10.72,3.92,10.27,1.05,1.03,5.41,14.11,85.89,3.32,1.44,5.41,1.03,3.32,85.89,2.41,21.00,8688454000.00,3621100000.00,12423668000.00,1.43,4.11,4.57,-12.09,,-1.71,6.19,816.20,50541552600.00,1.32,40227300000.00,7662012000.00,7604700000.00,-4040912000.00,-174.99,-3983600000.00,-172.51,0.49,5063.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-1.12,50633703424.00,2309200000.00,37682600000.00,61761000000.00,39202200000.00,20510167000.00,18915300000.00,1397700000.00,18162200000.00,23210400000.00,-5048200000.00,3621100000.00,7604700000.00,245900000.00,1152000000.00,1643700000.00,614000000.00,61923000.00,39243400000.00,983900000.00,17517600000.00,0.64,0.01,0.04,8.00,816.20,3502289000.00,1763314666.67,,,,,,,,,,,,
BANDHANBNK.NS,Bandhan Bank Limited,Financial Services,Banks—Regional,BANDHANBNK.NS,13.00,0.42,0.52,7.81,1.44,11.53,11.88,1.49,0.00,12.28,13.62,18.52,9.82,90.18,22.31,205.14,18.52,13.62,22.31,90.18,0.00,24.23,72952902000.00,27523269000.00,142183187000.00,1.95,1.54,10.27,179.55,,0.07,161.10,165.86,267195481546.24,2.67,-1.00,-1.00,2880720000.00,-1.00,-1.00,24642549000.00,89.76,0.90,26719.55,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-1.00,267195482112.00,27452955000.00,144571836000.00,1914762885000.00,1668712816000.00,216096380000.00,111384927000.00,0.00,0.00,0.00,0.00,27523269000.00,2880720000.00,2416455000.00,2792019000.00,104576451000.00,8779815000.00,1610969984.00,11803819000.00,-1.00,0.00,0.47,0.26,0.50,98.00,165.86,0.00,23898320666.67,225.00,130.00,192.22,198.00,,,,,,,,
INDIGO.NS,InterGlobe Aviation Limited,Industrials,Airlines,INDIGO.NS,34.95,0.29,33.46,44.12,1.23,-37.24,127.74,7.33,15.75,2.42,2.58,6.97,0.00,100.00,19.32,-1.35,6.97,2.58,19.32,100.00,2.18,4.41,89632660000.00,241513000000.00,601874170000.00,6.71,8.83,3.10,-1.00,,-1.00,38.65,6050.00,2338597201600.00,2.86,526200000000.00,245964000000.00,16048000000.00,-4451000000.00,-6.13,225465000000.00,310.63,0.00,233859.71,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.02,2338597109760.00,72584000000.00,776186000000.00,1158435000000.00,1064753000000.00,19965000000.00,668098000000.00,18187000000.00,507031000000.00,342178000000.00,164853000000.00,241513000000.00,16048000000.00,0.00,86802000000.00,50800000000.00,3350000000.00,386544992.00,521859000000.00,4341000000.00,649911000000.00,0.45,0.34,0.62,284.00,6050.00,92357123333.33,50417036666.67,7256.00,4050.00,6370.33,6558.50,,,,,,,,
NIITMTS.NS,NIIT Learning Systems Limited,Consumer Defensive,Education & Training Services,NIITMTS.NS,21.14,0.02,0.11,10.18,11.15,23.39,20.80,10.78,23.88,24.92,25.35,13.87,16.06,83.94,91.06,204.02,13.87,25.35,91.06,83.94,14.09,25.74,6329590000.00,2471040000.00,6785700000.00,1.07,11.19,5.12,8.31,,2.55,13.65,325.80,44467138800.00,2.62,-1.00,-1.00,478500000.00,-1.00,-1.00,1992540000.00,87.58,0.84,4446.71,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-1.00,44467138560.00,2275000000.00,16532640000.00,21880760000.00,9781160000.00,9774470000.00,1028080000.00,583450000.00,14796070000.00,7879250000.00,6916820000.00,2471040000.00,478500000.00,372370000.00,619070000.00,208290000.00,788570000.00,136486000.00,600130000.00,-1.00,444630000.00,0.49,0.23,0.45,29.00,325.80,2963860000.00,2109863333.33,450.00,435.00,445.00,450.00,,,,,,,,
INFOBEAN.NS,InfoBeans Technologies Limited,Technology,Software—Application,INFOBEAN.NS,28.82,0.01,0.07,13.30,7.76,11.43,12.09,9.29,13.30,12.83,10.17,8.35,7.99,92.01,75.33,2.80,8.35,10.17,75.33,92.01,17.41,28.11,1513800000.00,500300000.00,2515100000.00,1.66,9.38,2.48,-11.84,,-2.43,2.42,631.05,15296588895.00,3.73,-1.00,-1.00,50500000.00,-1.00,-1.00,449800000.00,118.46,0.16,1529.66,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.00,15296588800.00,379700000.00,3947800000.00,4120700000.00,798400000.00,2957900000.00,197000000.00,36100000.00,2646900000.00,342600000.00,2304300000.00,500300000.00,50500000.00,24300000.00,265600000.00,24200000.00,148500000.00,24239900.00,273000000.00,-1.00,160900000.00,0.80,0.01,0.05,1.00,631.05,487766666.67,321333333.33,,,,,,,,,,,,
GMBREW.NS,G.M. Breweries Limited,Consumer Defensive,Beverages—Wineries & Distilleries,GMBREW.NS,12.00,0.04,0.07,11.52,14.89,16.83,14.66,12.81,19.45,11.96,10.47,20.60,8.77,91.23,9.67,187.11,20.60,10.47,9.67,91.23,198.48,19.33,4737849000.00,1616772000.00,4144521000.00,0.87,14.07,8.28,11.39,,1.05,2.28,682.35,15589582215.00,1.04,500646000.00,-70449000.00,0.00,1687221000.00,130.75,1616772000.00,125.29,0.82,1560.80,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,1.04,15608004608.00,1290388000.00,6358732000.00,10975608000.00,1589959000.00,8223204000.00,557035000.00,372788000.00,1802229000.00,1574863000.00,227366000.00,1616772000.00,0.00,127943000.00,51844000.00,5665000.00,309243000.00,22846900.00,500646000.00,0.00,184247000.00,0.74,0.00,0.00,3.00,682.35,1579050000.00,1268083000.00,,,,,,,,,,,,
AUBANK.NS,AU Small Finance Bank Limited,Financial Services,Banks—Regional,AUBANK.NS,25.43,0.21,0.93,35.59,1.64,14.22,14.17,1.58,0.00,11.95,9.53,22.84,3.36,96.64,28.28,181.97,22.84,9.53,28.28,96.64,0.00,24.47,61984051000.00,54624118000.00,204131033000.00,3.29,1.92,3.79,16.24,,1.57,74.52,745.25,555355101136.00,6.23,9999045000.00,3393669000.00,2643614000.00,51230449000.00,243.27,51980504000.00,246.83,0.13,55542.89,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.94,555428872192.00,21059266000.00,105415001000.00,1578456662000.00,1406793845000.00,125595315000.00,116599024000.00,0.00,0.00,0.00,0.00,54624118000.00,2643614000.00,743159000.00,2585137000.00,80521494000.00,6821300000.00,745193024.00,9124652000.00,874393000.00,0.00,0.35,0.44,0.68,170.00,745.25,0.00,16895236333.33,930.00,610.00,780.30,784.00,,,,,,,,
IRFC.NS,Indian Railway Finance Corporation Limited,Financial Services,Credit Services,IRFC.NS,23.72,2.60,8.38,10.22,1.32,13.64,12.77,1.34,1.77,1429.12,1222.62,24.70,35.70,64.30,42.74,19371.62,24.70,1222.62,42.74,64.30,-1.00,0.00,251711020000.00,82295700000.00,-768569730000.00,-3.05,1.34,4.11,2.24,,10.60,1306.85,121.20,1583902196121.60,23.18,169300000.00,11720000.00,8200000.00,82283980000.00,126.55,82287500000.00,126.56,1.90,158390.21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1.00,1583902097408.00,65020000000.00,271519000000.00,4888346800000.00,4361669100000.00,491785670000.00,4121326900000.00,-1.00,2963937900000.00,128900000.00,2963809000000.00,82295700000.00,8200000.00,30057600000.00,53100000.00,-1.00,0.00,13068499968.00,169300000.00,0.00,-1.00,0.86,0.02,0.15,62.00,121.20,80601986666.67,63604220000.00,60.00,60.00,60.00,60.00,,,,,,,,
NESCO.NS,Nesco Limited,Industrials,Conglomerates,NESCO.NS,25.25,0.00,0.00,29.46,12.83,14.82,15.23,13.24,18.04,3.83,3.93,52.66,9.09,90.91,22.42,165.72,52.66,3.93,22.42,90.91,33.95,23.30,12178041000.00,3488983000.00,11863371000.00,0.97,14.16,3.70,25.64,,0.98,7.05,1439.00,101391940000.00,11.36,3490441000.00,700320000.00,7836258000.00,2788663000.00,74.32,-4347275000.00,-115.86,0.42,10139.19,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.80,101391941632.00,3752129000.00,7320071000.00,30156089000.00,3861738000.00,22965051000.00,9700000.00,326560000.00,3663120000.00,1464807000.00,2198313000.00,3488983000.00,7836258000.00,422760000.00,499214000.00,114607000.00,1139507000.00,70460000.00,3234505000.00,255936000.00,-316860000.00,0.70,0.05,0.15,35.00,1439.00,4519661333.33,3428776333.33,1282.00,1282.00,1282.00,1282.00,,,,,,,,
ITDCEM.NS,ITD Cementation India Limited,Industrials,Engineering & Construction,ITDCEM.NS,30.42,0.08,0.64,33.67,3.95,14.76,22.41,6.00,27.67,8.61,8.92,3.36,6.24,93.76,16.09,12.02,3.36,8.92,16.09,93.76,4.74,25.76,8395881000.00,2026969000.00,17167989000.00,2.04,6.30,2.99,75.57,,0.40,17.18,725.40,124615015200.00,1.35,11424722000.00,2095177000.00,2278533000.00,-68208000.00,-1.83,-251564000.00,-6.75,0.23,12463.10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,124630974464.00,3728052000.00,90968837000.00,65048449000.00,46664876000.00,14937017000.00,9612468000.00,3001234000.00,51028843000.00,44750850000.00,6277993000.00,2026969000.00,2278533000.00,291645000.00,1918335000.00,1499899000.00,1295101000.00,171788000.00,11084038000.00,340684000.00,6611234000.00,0.76,0.09,0.38,38.00,725.40,4917210000.00,2569276666.67,875.00,781.00,828.00,828.00,,,,,,,,
JAYAGROGN.NS,Jayant Agro-Organics Limited,Basic Materials,Specialty Chemicals,JAYAGROGN.NS,12.95,0.15,0.20,-0.63,6.30,9.91,9.82,6.30,13.59,7.86,8.61,2.14,29.23,70.77,5.86,7.19,2.14,8.61,5.86,70.77,5.53,25.86,2441854000.00,1179773000.00,3136113000.00,1.28,6.29,7.64,-14.74,,-0.88,3.00,239.55,7186500000.00,0.29,3301968000.00,148262000.00,282177000.00,1031511000.00,187.84,897596000.00,163.46,3.10,718.65,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.87,7186500096.00,549138000.00,24972019000.00,8689239000.00,2594613000.00,5420107000.00,1097130000.00,327539000.00,5159090000.00,2148641000.00,3010449000.00,1179773000.00,282177000.00,222830000.00,194144000.00,171309000.00,187764000.00,30000000.00,3228883000.00,73085000.00,769591000.00,0.79,0.00,0.00,0.00,239.55,843307666.67,518679666.67,,,,,33541200.00,9687600.00,900915400.00,5453648200.00,0.20,6223239200.00,10.73,10.07
