,symbol,name,ticker,longName,p/e,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Au NFA/T (over 3 years),Av Dep%NFA (over 3 years),Au Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%,FCF_capex_from_cashflow,FCF%_capex_from_cashflow,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D)
8.00,CCSI,Consensus Cloud Solutions Inc,CCSI,"Consensus Cloud Solutions, Inc.",6.43,12.11,-30.29,-35.84,12.07,29.88,27.46,3.60,5.01,22.30,0.00,100.00,24.04,87.67,22.30,5.01,24.04,100.00,-3.45,4.40,26.84,348445000.00,121747000.00,552684000.00,1.59,13.82,17.65,-5.28,-0.22,-1.22,1.90,26.70,506685900.00,1.20,1.45,153267000.00,37799000.00,33440000.00,83948000.00,93.86,88307000.00,98.74,0.00,50.67,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.69,506685920.00,89435000.00,350382000.00,602201000.00,681664000.00,-176122000.00,607150000.00,292000.00,74525000.00,79311000.00,-4786000.00,121747000.00,33440000.00,0.00,20516000.00,33979000.00,32810000.00,18977000.00,106591000.00,46676000.00,606858000.00,0.02,1.00,1.02,218.00,26.70,38.00,20.00,30.60,32.00,151697000.00,79814666.67,22936200.00,6616000.00,157291000.00,-153185800.00,-3.96,453672200.00,25.37,-58.38
15.00,GCT,GigaCloud Technology Inc,GCT,GigaCloud Technology Inc.,7.96,11.40,26.85,38.76,14.87,17.48,15.22,2.57,3.60,9.70,0.00,100.00,1.51,33.46,9.70,3.60,1.51,100.00,1.67,511.14,10.53,273145000.00,158078000.00,349742000.00,1.28,14.85,16.14,64.32,41.00,0.12,2.96,26.35,779678055.00,0.62,0.83,481428000.00,66416000.00,15536000.00,91662000.00,72.86,142542000.00,113.30,0.00,99.25,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.58,992501760.00,125808000.00,1161042000.00,1070475000.00,665258000.00,290416000.00,484278000.00,1782000.00,547592000.00,264379000.00,283213000.00,158078000.00,15536000.00,0.00,8524000.00,256000.00,14806000.00,29589300.00,481428000.00,0.00,482496000.00,0.14,0.47,0.54,198.00,26.35,44.00,31.00,36.00,34.50,96279000.00,81296000.00,13786600.00,3028400.00,147632600.00,304202600.00,1.59,786698600.00,16.79,41.36
41.00,SSTK,Shutterstock Inc,SSTK,"Shutterstock, Inc.",11.60,10.14,19.62,22.63,11.50,10.69,16.85,11.69,11.30,8.55,66.16,33.84,96.16,-63.46,8.55,11.30,96.16,33.84,0.57,6.51,42.55,314187000.00,32646000.00,548021000.00,1.74,3.47,4.82,-26.03,6.54,-0.45,3.55,21.00,744956100.00,0.40,0.74,80356000.00,88287000.00,51244000.00,-55641000.00,-154.85,-18598000.00,-51.76,5.69,74.50,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,-1.70,744956096.00,35932000.00,935262000.00,1309156000.00,790806000.00,527094000.00,301069000.00,49482000.00,255958000.00,625286000.00,-369328000.00,32646000.00,51244000.00,42383000.00,87626000.00,10561000.00,26616000.00,35474100.00,80356000.00,0.00,251587000.00,0.32,0.70,1.02,289.00,21.00,28.85,25.00,26.93,26.93,96602333.33,74101333.33,225412600.00,60405400.00,101120600.00,752506600.00,0.40,1004093600.00,5.79,4.77
31.00,PRDO,Perdoceo Education Corp,PRDO,Perdoceo Education Corporation,14.31,8.77,11.14,16.40,13.16,18.29,18.91,7.05,11.29,18.75,10.41,89.59,28.22,161.48,18.75,11.29,28.22,89.59,0.16,346.53,26.73,500746000.00,161594000.00,612921000.00,1.22,14.65,6.90,12.74,-0.57,1.12,6.50,32.92,2138265928.00,0.06,2.78,207711000.00,180081000.00,4625000.00,-18487000.00,-12.53,156969000.00,106.35,1.48,213.83,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,-0.11,2138265856.00,147590000.00,681263000.00,1237034000.00,277498000.00,841421000.00,131537000.00,171000.00,640154000.00,132162000.00,507992000.00,161594000.00,4625000.00,31699000.00,14645000.00,613000.00,53850000.00,64953400.00,160982000.00,46729000.00,131366000.00,0.07,0.99,1.06,425.00,32.92,40.00,40.00,40.00,40.00,176415666.67,130369666.67,,,,,,,,
23.00,JILL,J Jill Inc,JILL,"J.Jill, Inc.",7.68,8.64,3.86,195.69,8.09,23.98,25.13,3.70,3.59,6.41,2.45,97.55,13.63,8.81,6.41,3.59,13.63,97.55,5.61,4.87,26.86,89716000.00,65036000.00,277773000.00,3.10,9.22,15.22,-1.00,1.44,-1.00,1.53,16.97,259352510.00,0.81,0.43,175950000.00,31233000.00,17755000.00,33803000.00,85.61,47281000.00,119.75,1.12,25.94,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0.52,259352496.00,39483000.00,610857000.00,417699000.00,311930000.00,37218000.00,208819000.00,3519000.00,122030000.00,127108000.00,-5078000.00,65036000.00,17755000.00,2899000.00,21325000.00,15701000.00,14498000.00,15283000.00,167628000.00,8322000.00,205300000.00,0.06,0.99,1.05,121.00,16.97,30.00,16.00,21.25,19.50,75260666.67,39286333.33,,,,,,,,
33.00,PLTK,Playtika Holding Corp,PLTK,Playtika Holding Corp.,16.20,8.44,-72.84,-92.00,4.76,14.14,18.76,11.33,11.74,8.68,22.91,77.09,72.85,5.70,8.68,11.74,72.85,77.09,-11.27,2.97,42.17,981000000.00,490100000.00,2051100000.00,2.09,5.11,11.59,-16.29,-0.44,-0.99,37.58,3.73,1399843795.20,1.78,0.52,205300000.00,150800000.00,93300000.00,339300000.00,209.19,396800000.00,244.64,7.97,139.98,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.69,1399843712.00,162200000.00,2549300000.00,3639200000.00,3770300000.00,-221500000.00,2497200000.00,60500000.00,872800000.00,558900000.00,313900000.00,490100000.00,93300000.00,111500000.00,165700000.00,155200000.00,118300000.00,375796992.00,205300000.00,0.00,2436700000.00,0.85,0.17,1.14,285.00,3.73,14.00,4.00,6.30,5.50,486766666.67,224166666.67,1166180000.00,333680000.00,505020000.00,944680000.00,2.64,3381380000.00,8.64,17.17
19.00,HPQ,HP Inc,HPQ,HP Inc.,10.41,8.38,-146.78,-159.40,8.64,34.63,33.87,13.23,14.29,5.41,34.54,65.46,20.61,30.00,5.41,14.29,20.61,65.46,-10.20,6.92,15.37,15711000000.00,3749000000.00,18192000000.00,1.16,7.50,10.37,-19.28,-5.50,-0.54,93.47,28.63,26755845208.00,0.41,0.49,4079000000.00,894000000.00,592000000.00,2855000000.00,102.88,3157000000.00,113.77,4.02,2675.58,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.76,26755846144.00,2775000000.00,53559000000.00,39909000000.00,41232000000.00,-1069000000.00,10899000000.00,1462000000.00,20760000000.00,28687000000.00,-7927000000.00,3749000000.00,592000000.00,1075000000.00,830000000.00,607000000.00,504000000.00,934702016.00,4079000000.00,0.00,9437000000.00,0.00,0.82,0.82,1549.00,28.63,30.00,25.00,27.83,28.00,4063333333.33,3056666666.67,4633400000.00,1343800000.00,4182200000.00,3564400000.00,3.06,13001400000.00,27.22,77.85
44.00,TGNA,TEGNA Inc,TGNA,TEGNA Inc.,7.70,7.75,19.53,16.51,6.65,13.73,13.37,6.00,5.84,18.31,14.84,85.16,21.84,69.16,18.31,5.84,21.84,85.16,1.16,4.64,22.50,2184012000.00,684967000.00,2585979000.00,1.18,8.57,17.59,18.19,1.22,0.42,16.10,21.18,3410424610.56,0.92,1.12,513891000.00,93990000.00,52440000.00,590977000.00,98.53,632527000.00,105.45,2.39,341.04,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.86,3410424576.00,599818000.00,3101971000.00,7326519000.00,4301488000.00,2704872000.00,3139872000.00,51146000.00,1360412000.00,466280000.00,894132000.00,684967000.00,52440000.00,81364000.00,113535000.00,169238000.00,173944000.00,161020992.00,507854000.00,6037000.00,3088726000.00,0.01,1.03,1.04,482.00,21.18,22.00,21.00,21.33,21.00,909755000.00,569003666.67,,,,,,,,
13.00,GAMB,GAMBLING.COM GROUP LIMITED,GAMB,Gambling.com Group Limited,22.44,7.26,10.29,17.73,12.43,24.82,15.22,28.80,35.55,14.68,0.00,100.00,95.07,426.97,14.68,35.55,95.07,100.00,0.24,13.52,10.16,63782000.00,37638000.00,88300000.00,1.38,19.81,9.82,28.56,44.31,0.79,3.57,8.75,312486125.00,0.09,2.12,6465000.00,9899000.00,33825000.00,27739000.00,90.42,3813000.00,12.43,0.00,31.25,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.74,312486112.00,30679000.00,127182000.00,178583000.00,55395000.00,118924000.00,27963000.00,0.00,34889000.00,29736000.00,5153000.00,37638000.00,33825000.00,0.00,5802000.00,2798000.00,3471000.00,35712700.00,6465000.00,0.00,0.00,0.41,0.52,0.89,183.00,8.75,17.00,11.00,14.14,15.00,20620000.00,17109666.67,14367400.00,4700200.00,36948000.00,133291400.00,0.21,161254400.00,20.58,23.02
12.00,FC,Franklin Covey Co.,FC,Franklin Covey Co.,24.82,7.14,22.34,22.02,7.04,34.48,28.71,30.60,27.84,7.17,0.00,100.00,96.73,102.80,7.17,27.84,96.73,100.00,0.08,33.05,29.18,73236000.00,60257000.00,194426000.00,2.65,9.52,9.44,22.43,8.61,1.11,1.26,19.61,247842489.00,0.02,0.89,8736000.00,7610000.00,11310000.00,52647000.00,224.97,48947000.00,209.16,0.00,24.78,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.87,247842480.00,23402000.00,287233000.00,261539000.00,178404000.00,78654000.00,6034000.00,1691000.00,160253000.00,162453000.00,-2200000.00,60257000.00,11310000.00,0.00,8913000.00,1119000.00,9644000.00,12641800.00,8736000.00,0.00,4343000.00,0.16,0.77,0.91,175.00,19.61,35.00,27.00,31.00,31.00,28452000.00,19871000.00,,,,,,,,
49.00,YELP,Yelp Inc,YELP,Yelp Inc.,14.48,6.64,9.28,13.59,9.77,18.23,11.55,13.01,9.38,6.62,0.00,100.00,46.07,16.09,6.62,9.38,46.07,100.00,0.06,inf,27.39,308041000.00,285815000.00,997059000.00,3.24,13.09,6.67,54.90,11.02,0.26,6.31,31.57,1990510995.50,0.02,1.37,99781000.00,38025000.00,37347000.00,247790000.00,186.52,248468000.00,187.03,0.00,199.05,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.87,1990510976.00,132850000.00,1412064000.00,983567000.00,239598000.00,749534000.00,43149000.00,15033000.00,516879000.00,154974000.00,361905000.00,285815000.00,37347000.00,0.00,55501000.00,0.00,50110000.00,63060700.00,99781000.00,0.00,28116000.00,0.05,1.01,1.06,463.00,31.57,40.00,30.00,34.44,34.00,96147000.00,89456666.67,885973800.00,248119200.00,228917800.00,1635507800.00,0.03,1663623800.00,9.99,8.12
24.00,KFY,Korn Ferry,KFY,Korn Ferry,16.20,6.64,14.48,13.67,6.53,12.57,11.28,8.81,8.98,7.43,27.29,72.71,24.02,24.49,7.43,8.98,24.02,72.71,0.33,17.10,27.21,951105000.00,364362000.00,1493875000.00,1.57,6.69,6.31,-8.09,1.46,-2.00,5.23,74.53,3899714390.00,0.15,1.43,326322000.00,84296000.00,62484000.00,280066000.00,113.82,301878000.00,122.68,2.14,389.97,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.77,3899714560.00,246062000.00,2761086000.00,3861224000.00,1989085000.00,1733058000.00,568071000.00,103137000.00,1750138000.00,955598000.00,794540000.00,364362000.00,62484000.00,83632000.00,80287000.00,20363000.00,93836000.00,52327600.00,326322000.00,0.00,464934000.00,0.01,1.01,1.02,487.00,74.53,88.00,78.00,83.75,84.50,310162000.00,208248333.33,,,,,,,,
43.00,SIRI,Sirius XM Holdings Inc,SIRI,Sirius XM Holdings Inc.,inf,6.43,-3.51,23.38,3.92,-5.52,9.80,4.46,4.80,-0.09,9.03,90.97,35.15,-35.55,-0.09,4.80,35.15,90.97,1.03,3.90,-11.26,1343000000.00,1741000000.00,7549000000.00,5.62,-5.54,-20.90,-1.00,0.01,-1.00,33.67,23.66,7967268400.00,1.30,0.93,3097000000.00,1390000000.00,728000000.00,351000000.00,-21.08,1013000000.00,-60.84,1.79,796.73,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.20,7967268352.00,-1665000000.00,8699000000.00,27521000000.00,16447000000.00,10076000000.00,10375000000.00,311000000.00,1149000000.00,2731000000.00,-1582000000.00,1741000000.00,728000000.00,143000000.00,622000000.00,496000000.00,210000000.00,336740000.00,2109000000.00,988000000.00,10064000000.00,0.46,0.39,0.72,683.00,23.66,30.00,18.00,23.64,23.50,788000000.00,9666666.67,830600000.00,233600000.00,-1306600000.00,10906600000.00,0.95,20970600000.00,-6.93,-15.27
